skin_r,skin_g,skin_b,hair_r,hair_g,hair_b,eye_r,eye_g,eye_b,skin_hex,hair_hex,eye_hex,fitzpatrick,undertone,depth,season
219,165,132,0,0,0,135,108,88,#dba584,,#876c58,II,warm,light,Clear Spring
211,116,65,0,0,0,95,64,42,#d37441,,#5f402a,IV,warm,light_medium,Deep Autumn
222,213,225,0,0,0,72,76,90,#ded5e1,,#484c5a,I,cool,very_light,Light Summer
227,211,209,0,0,0,103,112,124,#e3d3d1,,#67707c,I,neutral,very_light,Light Summer
220,208,189,0,0,0,120,80,98,#dcd0bd,,#785062,I,warm,very_light,Light Spring
229,178,140,0,0,0,98,77,74,#e5b28c,,#624d4a,II,warm,very_light,Clear Spring
223,168,132,0,0,0,130,118,97,#dfa884,,#827661,II,warm,light,Clear Spring
244,199,162,0,0,0,129,91,68,#f4c7a2,,#815b44,II,warm,very_light,Clear Spring
203,131,96,0,0,0,121,85,71,#cb8360,,#795547,IV,warm,light_medium,Warm Autumn
227,189,165,0,0,0,97,72,71,#e3bda5,,#614847,I,warm,very_light,Warm Spring
206,163,151,0,0,0,97,80,87,#cea397,,#615057,I,neutral,light,Light Summer
215,164,143,0,0,0,111,86,78,#d7a48f,,#6f564e,II,warm,light,Clear Spring
204,174,153,0,0,0,95,76,66,#ccae99,,#5f4c42,I,warm,light,Warm Spring
200,154,133,0,0,0,135,101,95,#c89a85,,#87655f,II,warm,light,Clear Spring
224,163,144,0,0,0,123,89,83,#e0a390,,#7b5953,II,warm,light,Clear Spring
133,105,90,0,0,0,79,61,55,#85695a,,#4f3d37,V,warm,medium,Deep Autumn
227,199,183,0,0,0,144,117,111,#e3c7b7,,#90756f,I,neutral,very_light,Light Spring
173,144,127,0,0,0,79,56,47,#ad907f,,#4f382f,II,warm,light_medium,Light Spring
86,58,68,0,0,0,75,54,64,#563a44,,#4b3640,VI,cool,deep,Deep Winter
193,165,157,0,0,0,75,67,59,#c1a59d,,#4b433b,I,neutral,light,Light Summer
185,144,136,0,0,0,71,60,62,#b99088,,#473c3e,II,neutral,light_medium,Light Summer
197,158,126,0,0,0,50,48,46,#c59e7e,,#32302e,III,warm,light,Clear Spring
213,172,151,0,0,0,115,97,105,#d5ac97,,#736169,II,warm,light,Warm Spring
205,138,113,0,0,0,82,53,51,#cd8a71,,#523533,III,warm,light_medium,Warm Autumn
238,151,119,0,0,0,89,56,56,#ee9777,,#593838,III,warm,light,Warm Autumn
215,187,172,0,0,0,77,74,67,#d7bbac,,#4d4a43,I,neutral,very_light,Light Spring
205,157,126,0,0,0,86,64,58,#cd9d7e,,#56403a,III,warm,light,Clear Spring
130,96,75,0,0,0,56,39,41,#82604b,,#382729,V,warm,medium_deep,Deep Autumn
243,155,98,0,0,0,88,55,43,#f39b62,,#58372b,IV,warm,light,Warm Autumn
205,138,107,0,0,0,91,68,70,#cd8a6b,,#5b4446,IV,warm,light_medium,Warm Autumn
180,160,165,0,0,0,111,90,97,#b4a0a5,,#6f5a61,I,cool,light,Light Summer
221,122,32,0,0,0,90,33,21,#dd7a20,,#5a2115,IV,warm,light_medium,Deep Autumn
189,146,122,0,0,0,88,69,59,#bd927a,,#58453b,III,warm,light_medium,Clear Spring
234,182,146,0,0,0,105,76,59,#eab692,,#694c3b,II,warm,very_light,Clear Spring
188,133,105,0,0,0,96,62,48,#bc8569,,#603e30,IV,warm,light_medium,Warm Autumn
188,146,119,0,0,0,90,69,54,#bc9277,,#5a4536,III,warm,light_medium,Warm Autumn
221,198,177,0,0,0,135,110,98,#ddc6b1,,#876e62,I,warm,very_light,Light Spring
220,144,150,0,0,0,94,70,77,#dc9096,,#5e464d,I,cool,light,Cool Summer
206,152,129,0,0,0,120,90,78,#ce9881,,#785a4e,III,warm,light,Clear Spring
202,155,129,0,0,0,38,64,77,#ca9b81,,#26404d,III,warm,light,Clear Spring
231,181,161,0,0,0,84,64,59,#e7b5a1,,#54403b,I,warm,very_light,Clear Spring
235,173,150,0,0,0,106,70,67,#ebad96,,#6a4643,II,warm,very_light,Clear Spring
174,135,108,0,0,0,80,66,64,#ae876c,,#504240,IV,warm,light_medium,Warm Autumn
193,133,74,0,0,0,93,60,37,#c1854a,,#5d3c25,IV,warm,light_medium,Deep Autumn
230,202,183,0,0,0,129,106,90,#e6cab7,,#816a5a,I,warm,very_light,Light Spring
235,176,157,0,0,0,147,103,91,#ebb09d,,#93675b,I,warm,very_light,Clear Spring
154,104,73,0,0,0,67,49,34,#9a6849,,#433122,V,warm,medium,Deep Autumn
201,169,130,0,0,0,71,55,34,#c9a982,,#473722,III,warm,light,Clear Spring
181,125,89,0,0,0,69,58,44,#b57d59,,#453a2c,IV,warm,light_medium,Deep Autumn
157,95,65,0,0,0,73,54,40,#9d5f41,,#493628,V,warm,medium,Deep Autumn
213,142,111,0,0,0,95,55,44,#d58e6f,,#5f372c,III,warm,light,Warm Autumn
198,148,125,0,0,0,76,55,49,#c6947d,,#4c3731,III,warm,light,Clear Spring
157,99,69,0,0,0,68,42,35,#9d6345,,#442a23,V,warm,medium,Deep Autumn
226,175,165,0,0,0,85,60,64,#e2afa5,,#553c40,I,neutral,very_light,Light Summer
173,107,105,0,0,0,65,31,65,#ad6b69,,#411f41,IV,neutral,medium,Deep Winter
215,152,106,0,0,0,111,75,58,#d7986a,,#6f4b3a,III,warm,light,Warm Autumn
189,149,119,0,0,0,94,73,61,#bd9577,,#5e493d,III,warm,light_medium,Warm Autumn
196,133,111,0,0,0,84,61,55,#c4856f,,#543d37,IV,warm,light_medium,Warm Autumn
228,146,108,0,0,0,94,49,21,#e4926c,,#5e3115,III,warm,light,Warm Autumn
146,89,55,0,0,0,74,34,23,#925937,,#4a2217,V,warm,medium_deep,Deep Autumn
185,115,89,0,0,0,79,45,36,#b97359,,#4f2d24,IV,warm,light_medium,Deep Autumn
239,168,134,0,0,0,96,67,56,#efa886,,#604338,II,warm,light,Clear Spring
178,148,131,0,0,0,75,57,48,#b29483,,#4b3930,II,warm,light_medium,Light Spring
228,193,164,0,0,0,135,99,81,#e4c1a4,,#876351,I,warm,very_light,Warm Spring
199,149,116,0,0,0,95,71,64,#c79574,,#5f4740,III,warm,light,Warm Autumn
179,150,114,0,0,0,97,61,52,#b39672,,#613d34,III,warm,light_medium,Warm Autumn
185,153,141,0,0,0,65,40,32,#b9998d,,#412820,I,neutral,light,Light Spring
209,158,132,0,0,0,89,66,48,#d19e84,,#594230,II,warm,light,Clear Spring
146,103,82,0,0,0,87,68,49,#926752,,#574431,V,warm,medium,Deep Autumn
220,140,117,0,0,0,100,49,39,#dc8c75,,#643127,III,warm,light,Warm Autumn
190,121,68,0,0,0,90,42,15,#be7944,,#5a2a0f,IV,warm,light_medium,Deep Autumn
139,77,51,0,0,0,74,42,28,#8b4d33,,#4a2a1c,V,warm,medium_deep,Deep Autumn
211,155,128,0,0,0,99,61,45,#d39b80,,#633d2d,III,warm,light,Clear Spring
201,157,128,0,0,0,86,56,47,#c99d80,,#56382f,III,warm,light,Clear Spring
246,190,133,0,0,0,178,124,96,#f6be85,,#b27c60,III,warm,very_light,Clear Spring
183,123,82,0,0,0,116,76,63,#b77b52,,#744c3f,IV,warm,light_medium,Deep Autumn
181,136,111,0,0,0,131,99,81,#b5886f,,#836351,IV,warm,light_medium,Warm Autumn
197,145,118,0,0,0,108,73,64,#c59176,,#6c4940,III,warm,light_medium,Warm Autumn
139,86,68,0,0,0,86,40,28,#8b5644,,#56281c,V,warm,medium_deep,Deep Autumn
216,190,181,0,0,0,85,67,68,#d8beb5,,#554344,I,neutral,very_light,Light Spring
207,140,95,0,0,0,102,70,60,#cf8c5f,,#66463c,IV,warm,light_medium,Warm Autumn
240,191,140,0,0,0,128,90,80,#f0bf8c,,#805a50,II,warm,very_light,Clear Spring
213,143,108,0,0,0,111,68,51,#d58f6c,,#6f4433,III,warm,light,Warm Autumn
215,152,116,0,0,0,82,58,53,#d79874,,#523a35,III,warm,light,Warm Autumn
208,153,119,0,0,0,93,72,64,#d09977,,#5d4840,III,warm,light,Warm Autumn
127,81,61,0,0,0,114,81,72,#7f513d,,#725148,V,warm,medium_deep,Deep Autumn
197,148,115,0,0,0,91,71,61,#c59473,,#5b473d,III,warm,light,Warm Autumn
226,174,141,0,0,0,129,94,82,#e2ae8d,,#815e52,II,warm,very_light,Clear Spring
192,127,88,0,0,0,102,69,55,#c07f58,,#664537,IV,warm,light_medium,Warm Autumn
156,112,85,0,0,0,96,64,49,#9c7055,,#604031,V,warm,medium,Deep Autumn
174,135,108,0,0,0,80,66,64,#ae876c,,#504240,IV,warm,light_medium,Warm Autumn
210,171,151,0,0,0,94,72,67,#d2ab97,,#5e4843,I,warm,light,Warm Spring
124,73,68,0,0,0,79,59,59,#7c4944,,#4f3b3b,VI,neutral,medium_deep,Deep Winter
239,179,141,0,0,0,98,68,57,#efb38d,,#624439,II,warm,very_light,Clear Spring
168,121,84,0,0,0,86,61,48,#a87954,,#563d30,V,warm,medium,Deep Autumn
160,91,49,0,0,0,87,66,51,#a05b31,,#574233,V,warm,medium,Deep Autumn
159,159,159,0,0,0,78,78,78,#9f9f9f,,#4e4e4e,I,neutral,light,Light Spring
154,104,73,0,0,0,67,49,34,#9a6849,,#433122,V,warm,medium,Deep Autumn
188,146,119,0,0,0,90,69,54,#bc9277,,#5a4536,III,warm,light_medium,Warm Autumn
246,219,180,0,0,0,90,67,66,#f6dbb4,,#5a4342,I,warm,very_light,Clear Spring
138,86,67,0,0,0,85,61,54,#8a5643,,#553d36,V,warm,medium_deep,Deep Autumn
186,126,96,0,0,0,100,63,50,#ba7e60,,#643f32,IV,warm,light_medium,Warm Autumn
221,149,112,0,0,0,132,75,49,#dd9570,,#844b31,III,warm,light,Warm Autumn
171,124,109,0,0,0,72,47,33,#ab7c6d,,#482f21,IV,neutral,light_medium,Soft Summer
220,183,159,0,0,0,103,90,86,#dcb79f,,#675a56,I,warm,very_light,Warm Spring
222,146,109,0,0,0,118,70,48,#de926d,,#764630,III,warm,light,Warm Autumn
154,126,106,0,0,0,66,51,42,#9a7e6a,,#42332a,IV,warm,medium,Warm Autumn
221,177,145,0,0,0,85,70,62,#ddb191,,#55463e,II,warm,very_light,Clear Spring
227,164,127,0,0,0,98,73,60,#e3a47f,,#62493c,III,warm,light,Clear Spring
202,145,113,0,0,0,103,82,62,#ca9171,,#67523e,III,warm,light_medium,Warm Autumn
148,148,148,0,0,0,95,95,95,#949494,,#5f5f5f,I,neutral,light_medium,Light Spring
244,184,145,0,0,0,168,127,112,#f4b891,,#a87f70,II,warm,very_light,Clear Spring
159,115,88,0,0,0,64,54,49,#9f7358,,#403631,V,warm,medium,Deep Autumn
231,191,167,0,0,0,100,80,77,#e7bfa7,,#64504d,I,warm,very_light,Warm Spring
233,196,177,0,0,0,75,70,74,#e9c4b1,,#4b464a,I,warm,very_light,Warm Spring
214,182,140,0,0,0,103,100,83,#d6b68c,,#676453,II,warm,very_light,Clear Spring
226,173,158,0,0,0,135,121,114,#e2ad9e,,#877972,I,neutral,very_light,Light Summer
213,156,127,0,0,0,89,55,45,#d59c7f,,#59372d,III,warm,light,Clear Spring
131,87,70,0,0,0,101,80,83,#835746,,#655053,V,warm,medium_deep,Deep Autumn
226,187,168,0,0,0,114,89,82,#e2bba8,,#725952,I,warm,very_light,Warm Spring
241,178,137,0,0,0,114,84,67,#f1b289,,#725443,II,warm,very_light,Clear Spring
202,159,146,0,0,0,100,83,80,#ca9f92,,#645350,I,neutral,light,Light Summer
220,182,151,0,0,0,114,88,97,#dcb697,,#725861,II,warm,very_light,Clear Spring
239,195,191,0,0,0,117,92,93,#efc3bf,,#755c5d,I,neutral,very_light,Light Summer
213,154,115,0,0,0,106,80,59,#d59a73,,#6a503b,III,warm,light,Warm Autumn
229,196,169,0,0,0,108,67,52,#e5c4a9,,#6c4334,I,warm,very_light,Warm Spring
240,199,160,0,0,0,85,61,72,#f0c7a0,,#553d48,II,warm,very_light,Clear Spring
225,177,142,0,0,0,129,95,86,#e1b18e,,#815f56,II,warm,very_light,Clear Spring
209,159,137,0,0,0,103,77,70,#d19f89,,#674d46,II,warm,light,Clear Spring
230,197,179,0,0,0,107,89,81,#e6c5b3,,#6b5951,I,warm,very_light,Warm Spring
196,163,121,0,0,0,102,88,64,#c4a379,,#665840,III,warm,light,Clear Spring
206,162,133,0,0,0,80,63,56,#cea285,,#503f38,II,warm,light,Clear Spring
224,161,137,0,0,0,133,113,107,#e0a189,,#85716b,II,warm,light,Clear Spring
212,169,135,0,0,0,96,79,75,#d4a987,,#604f4b,II,warm,light,Clear Spring
207,172,148,0,0,0,73,61,85,#cfac94,,#493d55,II,warm,light,Warm Spring
245,187,147,0,0,0,128,66,37,#f5bb93,,#804225,II,warm,very_light,Clear Spring
154,123,103,0,0,0,62,45,41,#9a7b67,,#3e2d29,IV,warm,medium,Deep Autumn
200,183,163,0,0,0,102,90,87,#c8b7a3,,#665a57,I,warm,very_light,Light Spring
187,145,113,0,0,0,79,60,45,#bb9171,,#4f3c2d,III,warm,light_medium,Warm Autumn
191,130,91,0,0,0,85,71,58,#bf825b,,#55473a,IV,warm,light_medium,Warm Autumn
188,127,80,0,0,0,87,57,42,#bc7f50,,#57392a,IV,warm,light_medium,Deep Autumn
209,160,117,0,0,0,107,77,55,#d1a075,,#6b4d37,III,warm,light,Warm Autumn
108,87,81,0,0,0,51,46,49,#6c5751,,#332e31,VI,neutral,medium_deep,Deep Winter
201,158,142,0,0,0,101,73,78,#c99e8e,,#65494e,II,neutral,light,Light Spring
208,149,104,0,0,0,79,55,34,#d09568,,#4f3722,IV,warm,light,Warm Autumn
205,154,126,0,0,0,62,43,42,#cd9a7e,,#3e2b2a,III,warm,light,Clear Spring
216,167,145,0,0,0,89,69,67,#d8a791,,#594543,II,warm,light,Clear Spring
171,127,105,0,0,0,82,69,65,#ab7f69,,#524541,IV,warm,light_medium,Warm Autumn
130,90,62,0,0,0,65,33,21,#825a3e,,#412115,V,warm,medium_deep,Deep Autumn
90,34,16,0,0,0,35,29,28,#5a2210,,#231d1c,VI,warm,very_deep,Deep Autumn
168,124,106,0,0,0,64,43,35,#a87c6a,,#402b23,IV,warm,light_medium,Warm Autumn
223,165,112,0,0,0,89,59,42,#dfa570,,#593b2a,III,warm,light,Warm Autumn
202,125,73,0,0,0,99,59,47,#ca7d49,,#633b2f,IV,warm,light_medium,Deep Autumn
218,152,110,0,0,0,82,58,41,#da986e,,#523a29,III,warm,light,Warm Autumn
219,187,162,0,0,0,112,101,93,#dbbba2,,#70655d,I,warm,very_light,Warm Spring
218,174,147,0,0,0,95,79,76,#daae93,,#5f4f4c,II,warm,light,Clear Spring
174,139,122,0,0,0,98,72,65,#ae8b7a,,#624841,III,warm,light_medium,Warm Spring
235,172,136,0,0,0,104,86,79,#ebac88,,#68564f,II,warm,very_light,Clear Spring
187,137,116,0,0,0,68,56,50,#bb8974,,#443832,III,warm,light_medium,Warm Autumn
187,133,118,0,0,0,78,51,47,#bb8576,,#4e332f,III,neutral,light_medium,Soft Summer
206,157,123,0,0,0,86,54,38,#ce9d7b,,#563626,III,warm,light,Clear Spring
190,129,82,0,0,0,83,53,40,#be8152,,#533528,IV,warm,light_medium,Deep Autumn
213,167,144,0,0,0,87,58,43,#d5a790,,#573a2b,II,warm,light,Clear Spring
197,123,112,0,0,0,86,46,51,#c57b70,,#562e33,IV,neutral,light_medium,Soft Summer
214,155,142,0,0,0,104,78,74,#d69b8e,,#684e4a,II,neutral,light,Light Summer
235,184,170,0,0,0,95,70,65,#ebb8aa,,#5f4641,I,neutral,very_light,Light Summer
209,159,138,0,0,0,114,88,76,#d19f8a,,#72584c,II,warm,light,Clear Spring
149,114,90,0,0,0,69,52,38,#95725a,,#453426,V,warm,medium,Deep Autumn
227,181,142,0,0,0,95,65,54,#e3b58e,,#5f4136,II,warm,very_light,Clear Spring
218,159,135,0,0,0,128,117,98,#da9f87,,#807562,II,warm,light,Clear Spring
154,108,85,0,0,0,97,85,85,#9a6c55,,#615555,V,warm,medium,Deep Autumn
208,150,125,0,0,0,82,59,49,#d0967d,,#523b31,III,warm,light,Clear Spring
169,111,79,0,0,0,72,56,52,#a96f4f,,#483834,V,warm,medium,Deep Autumn
82,55,49,0,0,0,59,42,35,#523731,,#3b2a23,VI,neutral,deep,Deep Winter
192,129,99,0,0,0,86,52,42,#c08163,,#56342a,IV,warm,light_medium,Warm Autumn
211,159,116,0,0,0,73,62,43,#d39f74,,#493e2b,III,warm,light,Warm Autumn
195,162,160,0,0,0,71,58,61,#c3a2a0,,#473a3d,I,neutral,light,Light Summer
229,162,77,0,0,0,106,71,32,#e5a24d,,#6a4720,IV,warm,light,Warm Autumn
218,154,116,0,0,0,79,59,57,#da9a74,,#4f3b39,III,warm,light,Warm Autumn
106,74,56,0,0,0,58,41,36,#6a4a38,,#3a2924,VI,warm,deep,Deep Autumn
178,124,119,0,0,0,91,63,68,#b27c77,,#5b3f44,III,neutral,light_medium,Soft Summer
188,127,103,0,0,0,51,53,44,#bc7f67,,#33352c,IV,warm,light_medium,Warm Autumn
190,160,144,0,0,0,63,50,45,#bea090,,#3f322d,I,warm,light,Light Spring
210,153,115,0,0,0,93,56,36,#d29973,,#5d3824,III,warm,light,Warm Autumn
192,127,88,0,0,0,102,69,55,#c07f58,,#664537,IV,warm,light_medium,Warm Autumn
204,148,128,0,0,0,74,60,57,#cc9480,,#4a3c39,III,warm,light,Clear Spring
245,198,174,0,0,0,103,76,67,#f5c6ae,,#674c43,I,warm,very_light,Clear Spring
170,114,85,0,0,0,73,53,46,#aa7255,,#49352e,V,warm,medium,Deep Autumn
159,125,100,0,0,0,87,63,53,#9f7d64,,#573f35,IV,warm,light_medium,Warm Autumn
212,197,183,0,0,0,104,109,116,#d4c5b7,,#686d74,I,neutral,very_light,Light Spring
206,146,118,0,0,0,84,51,38,#ce9276,,#543326,III,warm,light,Warm Autumn
199,151,122,0,0,0,86,67,55,#c7977a,,#564337,III,warm,light,Clear Spring
141,105,84,0,0,0,93,69,56,#8d6954,,#5d4538,V,warm,medium,Deep Autumn
231,163,118,0,0,0,115,84,69,#e7a376,,#735445,III,warm,light,Warm Autumn
163,124,97,0,0,0,75,52,36,#a37c61,,#4b3424,IV,warm,light_medium,Deep Autumn
187,148,133,0,0,0,99,74,65,#bb9485,,#634a41,II,neutral,light_medium,Light Spring
216,136,88,0,0,0,118,47,25,#d88858,,#762f19,IV,warm,light_medium,Warm Autumn
190,131,103,0,0,0,110,74,69,#be8367,,#6e4a45,IV,warm,light_medium,Warm Autumn
214,151,109,0,0,0,114,95,84,#d6976d,,#725f54,III,warm,light,Warm Autumn
220,196,170,0,0,0,70,59,50,#dcc4aa,,#463b32,I,warm,very_light,Warm Spring
208,139,103,0,0,0,133,101,78,#d08b67,,#85654e,IV,warm,light_medium,Warm Autumn
209,209,209,0,0,0,75,75,74,#d1d1d1,,#4b4b4a,I,neutral,very_light,Light Spring
219,169,143,0,0,0,98,68,59,#dba98f,,#62443b,II,warm,light,Clear Spring
211,157,115,0,0,0,61,36,44,#d39d73,,#3d242c,III,warm,light,Warm Autumn
166,168,224,0,0,0,64,69,129,#a6a8e0,,#404581,I,cool,light,Cool Summer
203,152,137,0,0,0,129,76,66,#cb9889,,#814c42,II,neutral,light,Light Summer
121,85,78,0,0,0,44,34,31,#79554e,,#2c221f,VI,neutral,medium_deep,Deep Winter
191,148,113,0,0,0,116,90,68,#bf9471,,#745a44,III,warm,light_medium,Warm Autumn
210,167,143,0,0,0,117,93,77,#d2a78f,,#755d4d,II,warm,light,Clear Spring
146,91,58,0,0,0,71,44,32,#925b3a,,#472c20,V,warm,medium_deep,Deep Autumn
208,159,147,0,0,0,128,114,116,#d09f93,,#807274,I,neutral,light,Light Summer
240,191,146,0,0,0,120,89,70,#f0bf92,,#785946,II,warm,very_light,Clear Spring
94,70,46,0,0,0,60,47,29,#5e462e,,#3c2f1d,VI,warm,deep,Deep Autumn
181,141,114,0,0,0,107,82,68,#b58d72,,#6b5244,III,warm,light_medium,Warm Autumn
157,119,88,0,0,0,67,55,47,#9d7758,,#43372f,V,warm,medium,Deep Autumn
218,186,171,0,0,0,124,100,98,#dabaab,,#7c6462,I,neutral,very_light,Light Spring
206,172,152,0,0,0,118,94,79,#ceac98,,#765e4f,I,warm,light,Warm Spring
117,90,76,0,0,0,81,80,73,#755a4c,,#515049,VI,warm,medium_deep,Deep Autumn
201,165,141,0,0,0,87,58,49,#c9a58d,,#573a31,II,warm,light,Warm Spring
199,163,112,0,0,0,138,115,89,#c7a370,,#8a7359,III,warm,light,Warm Autumn
152,114,93,0,0,0,86,57,44,#98725d,,#56392c,V,warm,medium,Deep Autumn
131,89,66,0,0,0,68,46,39,#835942,,#442e27,V,warm,medium_deep,Deep Autumn
248,194,153,0,0,0,157,107,80,#f8c299,,#9d6b50,II,warm,very_light,Clear Spring
191,115,80,0,0,0,121,88,73,#bf7350,,#795849,IV,warm,light_medium,Deep Autumn
183,128,104,0,0,0,70,58,63,#b78068,,#463a3f,IV,warm,light_medium,Warm Autumn
202,179,143,0,0,0,114,116,115,#cab38f,,#727473,II,warm,light,Warm Spring
159,119,110,0,0,0,91,68,74,#9f776e,,#5b444a,IV,neutral,medium,Soft Summer
180,132,114,0,0,0,101,69,57,#b48472,,#654539,III,warm,light_medium,Warm Autumn
178,124,87,0,0,0,97,68,59,#b27c57,,#61443b,IV,warm,light_medium,Deep Autumn
155,64,2,0,0,0,84,38,12,#9b4002,,#54260c,V,warm,medium_deep,Deep Autumn
203,147,116,0,0,0,114,79,62,#cb9374,,#724f3e,III,warm,light,Warm Autumn
229,191,100,0,0,0,73,39,25,#e5bf64,,#492719,III,warm,very_light,Warm Autumn
119,92,79,0,0,0,85,79,81,#775c4f,,#554f51,VI,neutral,medium_deep,Deep Autumn
250,200,162,0,0,0,184,127,107,#fac8a2,,#b87f6b,II,warm,very_light,Clear Spring
233,179,157,0,0,0,129,114,111,#e9b39d,,#81726f,I,warm,very_light,Clear Spring
186,128,126,0,0,0,116,70,72,#ba807e,,#744648,II,neutral,light_medium,Light Summer
181,130,104,0,0,0,92,73,61,#b58268,,#5c493d,IV,warm,light_medium,Warm Autumn
193,156,134,0,0,0,84,63,52,#c19c86,,#543f34,II,warm,light,Warm Spring
164,115,120,0,0,0,61,48,65,#a47378,,#3d3041,III,cool,medium,Cool Summer
197,184,176,0,0,0,115,123,122,#c5b8b0,,#737b7a,I,neutral,very_light,Light Spring
242,201,188,0,0,0,115,109,100,#f2c9bc,,#736d64,I,neutral,very_light,Light Summer
178,143,130,0,0,0,74,70,66,#b28f82,,#4a4642,II,neutral,light_medium,Light Spring
221,190,208,0,0,0,106,99,112,#ddbed0,,#6a6370,I,cool,very_light,Light Summer
234,187,171,0,0,0,163,126,108,#eabbab,,#a37e6c,I,neutral,very_light,Light Summer
226,172,137,0,0,0,88,65,50,#e2ac89,,#584132,II,warm,light,Clear Spring
228,167,154,0,0,0,133,104,94,#e4a79a,,#85685e,I,neutral,light,Light Summer
242,202,179,0,0,0,122,94,100,#f2cab3,,#7a5e64,I,warm,very_light,Warm Spring
222,179,170,0,0,0,91,89,94,#deb3aa,,#5b595e,I,neutral,very_light,Light Summer
226,163,141,0,0,0,143,104,98,#e2a38d,,#8f6862,II,warm,light,Clear Spring
166,89,60,0,0,0,97,70,64,#a6593c,,#614640,V,warm,medium,Deep Autumn
204,140,96,0,0,0,89,58,42,#cc8c60,,#593a2a,IV,warm,light_medium,Warm Autumn
207,143,117,0,0,0,100,72,72,#cf8f75,,#644848,III,warm,light,Warm Autumn
163,93,68,0,0,0,81,60,50,#a35d44,,#513c32,V,warm,medium,Deep Autumn
245,206,164,0,0,0,108,83,68,#f5cea4,,#6c5344,II,warm,very_light,Clear Spring
243,208,197,0,0,0,113,89,85,#f3d0c5,,#715955,I,neutral,very_light,Light Summer
210,163,125,0,0,0,128,98,73,#d2a37d,,#806249,III,warm,light,Clear Spring
223,191,180,0,0,0,92,78,76,#dfbfb4,,#5c4e4c,I,neutral,very_light,Light Spring
203,174,156,0,0,0,88,74,79,#cbae9c,,#584a4f,I,warm,light,Light Spring
176,121,86,0,0,0,92,72,54,#b07956,,#5c4836,IV,warm,light_medium,Deep Autumn
211,182,172,0,0,0,122,105,103,#d3b6ac,,#7a6967,I,neutral,very_light,Light Spring
210,151,120,0,0,0,97,73,61,#d29778,,#61493d,III,warm,light,Warm Autumn
236,194,173,0,0,0,110,79,70,#ecc2ad,,#6e4f46,I,warm,very_light,Warm Spring
208,178,152,0,0,0,106,77,59,#d0b298,,#6a4d3b,II,warm,light,Warm Spring
140,78,38,0,0,0,67,39,25,#8c4e26,,#432719,V,warm,medium_deep,Deep Autumn
220,171,143,0,0,0,118,88,75,#dcab8f,,#76584b,II,warm,light,Clear Spring
223,156,106,0,0,0,128,82,69,#df9c6a,,#805245,III,warm,light,Warm Autumn
220,179,146,0,0,0,92,71,62,#dcb392,,#5c473e,II,warm,very_light,Clear Spring
237,162,123,0,0,0,118,75,55,#eda27b,,#764b37,III,warm,light,Clear Spring
228,228,228,0,0,0,104,104,104,#e4e4e4,,#686868,I,neutral,very_light,Light Spring
185,150,123,0,0,0,78,74,64,#b9967b,,#4e4a40,III,warm,light_medium,Warm Spring
201,143,108,0,0,0,101,74,54,#c98f6c,,#654a36,IV,warm,light_medium,Warm Autumn
203,157,139,0,0,0,62,57,61,#cb9d8b,,#3e393d,II,warm,light,Warm Spring
187,119,60,0,0,0,80,58,23,#bb773c,,#503a17,V,warm,light_medium,Deep Autumn
235,180,127,0,0,0,52,43,36,#ebb47f,,#342b24,III,warm,very_light,Clear Spring
207,139,99,0,0,0,87,71,65,#cf8b63,,#574741,IV,warm,light_medium,Warm Autumn
197,165,139,0,0,0,92,82,67,#c5a58b,,#5c5243,II,warm,light,Warm Spring
195,94,46,0,0,0,85,57,39,#c35e2e,,#553927,V,warm,medium,Deep Autumn
171,111,84,0,0,0,90,51,46,#ab6f54,,#5a332e,V,warm,medium,Deep Autumn
186,132,105,0,0,0,93,49,34,#ba8469,,#5d3122,IV,warm,light_medium,Warm Autumn
139,125,117,0,0,0,72,64,61,#8b7d75,,#48403d,III,neutral,medium,Soft Autumn
140,84,50,0,0,0,66,37,22,#8c5432,,#422516,V,warm,medium_deep,Deep Autumn
167,136,111,0,0,0,74,57,48,#a7886f,,#4a3930,IV,warm,light_medium,Warm Autumn
165,133,136,0,0,0,85,56,69,#a58588,,#553845,I,cool,light_medium,Light Summer
165,109,95,0,0,0,64,39,39,#a56d5f,,#402727,V,neutral,medium,Deep Winter
177,111,84,0,0,0,82,56,54,#b16f54,,#523836,V,warm,medium,Deep Autumn
187,155,131,0,0,0,85,72,65,#bb9b83,,#554841,II,warm,light,Warm Spring
192,147,117,0,0,0,61,49,39,#c09375,,#3d3127,III,warm,light_medium,Warm Autumn
212,188,173,0,0,0,71,63,55,#d4bcad,,#473f37,I,neutral,very_light,Light Spring
109,91,95,0,0,0,57,54,62,#6d5b5f,,#39363e,VI,cool,medium_deep,Deep Winter
208,185,158,0,0,0,80,70,65,#d0b99e,,#504641,I,warm,very_light,Warm Spring
107,75,61,0,0,0,60,43,36,#6b4b3d,,#3c2b24,VI,warm,deep,Deep Autumn
245,174,142,0,0,0,102,74,69,#f5ae8e,,#664a45,II,warm,very_light,Clear Spring
233,175,135,0,0,0,98,78,72,#e9af87,,#624e48,II,warm,very_light,Clear Spring
202,146,100,0,0,0,69,61,53,#ca9264,,#453d35,IV,warm,light_medium,Warm Autumn
223,155,116,0,0,0,73,48,42,#df9b74,,#49302a,III,warm,light,Warm Autumn
235,189,151,0,0,0,102,79,71,#ebbd97,,#664f47,II,warm,very_light,Clear Spring
